ResponseId,Age,Ethnicity,Honesty_YT_Aby_1,Trustworthy_YT_Aby_1,Informed_YT_Aby_1,Harm_YT_Aby,NicotineCool_YT_Aby_1,NicoAttra_YT_Aby_1,VapeFriends_YT_Aby,VapeMonths_YT_Aby,VapeInt_YT_Aby,Honesty_YT_Anna_1,Trustworthy_YT_Anna_1,Informed_YT_Anna_1,Harm_YT_Anna,NicotineCool_YT_Anna_1,NicoAttra_YT_Ann_1,VapeFriends_YT_Anna,VapeMonths_YT_Anna,VapeInt_YT_Anna,Honesty_YT_Cham_1,Trustworthy_YT_Cham_1,Informed_YT_Cham_1,Harm_YT_Cham,NicotineCool_YT_Cham_1,NicoAttra_YT_Cham_1,VapeFriends_YT_Cham,VapeMonths_YT_Cham,VapeInt_YT_Cham,Honesty_YT_Fab_1,Trustworthy_YT_Fab_1,Informed_YT_Fab_1,Harm_YT_Fab,NicotineCool_YT_Fab_1,NicoAttra_YT_Fab_1,VapeFriends_YT_Fab,VapeMonths_YT_Fab,VapeInt_YT_Fab,Honesty_YT_Mae_1,Trustworthy_YT_Mae_1,Informed_YT_Mae_1,Harm_YT_Mae,NicotineCool_YT_Mae_1,NicoAttra_YT_Mae_1,VapeFriends_YT_Mae,VapeMonths_YT_Mae,VapeInt_YT_Mae,Honesty_YT_Zanx_1,Trustworthy_YT_Zanx_1,Informed_YT_Zanx_1,Harm_YT_Zanx,NicotineCool_YT_Zanx_1,NicoAttra_YT_Zanx_1,VapeFriends_YT_Zanx,VapeMonths_YT_Zanx,VapeInt_YT_Zanx,Honesty_OT_Aby_1,Trustworthy_OT_Aby_1,Informed_OT_Aby_1,Harm_OT_Aby,NicotineCool_OT_Aby_1,NicoAttra_OT_Aby_1,VapeFriends_OT_Aby,VapeMonths_OT_Aby,VapeInt_OT_Aby,Honesty_OT_Anna_1,Trustworthy_OT_Anna_1,Informed_OT_Anna_1,Harm_OT_Anna,NicotineCool_OT_Anna_1,NicoAttra_OT_Anna_1,VapeFriends_OT_Anna,VapeMonths_OT_Anna,VapeInt_OT_Anna,Honesty_OT_Cham_1,Trustworthy_OT_Cham_1,Informed_OT_Cham_1,Harm_OT_Cham,NicotineCool_OT_Cham_1,NicoAttra_OT_Cham_1,VapeFriends_OT_Cham,VapeMonths_OT_Cham,VapeInt_OT_Cham,Honesty_OT_Fab_1,Trustworthy_OT_Fab_1,Informed_OT_Fab_1,Harm_OT_Fab,NicotineCool_OT_Fab_1,NicoAttra_OT_Fab_1,VapeFriends_OT_Fab,VapeMonths_OT_Fab,VapeInt_OT_Fab,Honesty_OT_Mae_1,Trustworthy_OT_Mae_1,Informed_OT_Mae_1,Harm_OT_Mae,NicotineCool_OT_Mae_1,NicoAttra_OT_Mae_1,VapeFriends_OT_Mae,VapeMonths_OT_Mae,VapeInt_OT_Mae,Honesty_OT_Zanx_1,Trustworthy_OT_Zanx_1,Informed_OT_Zanx_1,Harm_OT_Zanx,NicotineCool_OT_Zanx_1,NicoAttra_OT_Zanx_1,VapeFriends_OT_Zanx,VapeMonths_OT_Zanx,VapeInt_OT_Zanx,Honesty_YC_Aby_1,Trustworthy_YC_Aby_1,Informed_YC_Aby_1,Harm_YC_Aby,NicotineCool_YC_Aby_1,NicoAttra_YC_Aby_1,VapeFriends_YC_Aby,VapeMonths_YC_Aby,VapeInt_YC_Aby,Honesty_YC_Anna_1,Trustworthy_YC_Anna_1,Informed_YC_Anna_1,Harm_YC_Anna,NicotineCool_YC_Anna_1,NicoAttra_YC_Anna_1,VapeFriends_YC_Anna,VapeMonths_YC_Anna,VapeInt_YC_Anna,Honesty_YC_Cham_1,Trustworthy_YC_Cham_1,Informed_YC_Cham_1,Harm_YC_Cham,NicotineCool_YC_Cham_1,NicoAttra_YC_Cham_1,VapeFriends_YC_Cham,VapeMonths_YC_Cham,VapeInt_YC_Cham,Honesty_YC_Fab_1,Trustworthy_YC_Fab_1,Informed_YC_Fab_1,Harm_YC_Fab,NicotineCool_YC_Fab_1,NicoAttra_YC_Fab_1,VapeFriends_YC_Fab,VapeMonths_YC_Fab,VapeInt_YC_Fab,Honesty_YC_Mae_1,Trustworthy_YC_Mae_1,Informed_YC_Mae_1,Harm_YC_Mae,NicotineCool_YC_Mae_1,NicoAttra_YC_Mae_1,VapeFriends_YC_Mae,VapeMonths_YC_Mae,VapeInt_YC_Mae,Honesty_YC_Zanx_1,Trustworthy_YC_Zanx_1,Informed_YC_Zanx_1,Harm_YC_Zanx,NicotineCool_YC_Zanx_1,NicoAttra_YC_Zanx_1,VapeFriends_YC_Zanx,VapeMonths_YC_Zanx,VapeInt_YC_Zanx,Honesty_OC_Aby_1,Trustworthy_OC_Aby_1,Informed_OC_Aby_1,Harm_OC_Aby,NicotineCool_OC_Aby_1,NicoAttra_OC_Aby_1,VapeFriends_OC_Aby,VapeMonths_OC_Aby,VapeInt_OC_Aby,Honesty_OC_Anna_1,Trustworthy_OC_Anna_1,Informed_OC_Anna_1,Harm_OC_Anna,NicotineCool_OC_Anna_1,NicoAttra_OC_Anna_1,VapeFriends_OC_Anna,VapeMonths_OC_Anna,VapeInt_OC_Anna,Honesty_OC_Cham_1,Trustworthy_OC_Cham_1,Informed_OC_Cham_1,Harm_OC_Cham,NicotineCool_OC_Cham_1,NicoAttra_OC_Cham_1,VapeFriends_OC_Cham,VapeMonths_OC_Cham,VapeInt_OC_Cham,Q274_First.Click,Q274_Last.Click,Q274_Page.Submit,Q274_Click.Count,Honesty_OC_Fab_1,Trustworthy_OC_Fab_1,Informed_OC_Fab_1,Harm_OC_Fab,NicotineCool_OC_Fab_1,NicoAttra_OC_Fab_1,VapeFriends_OC_Fab,VapeMonths_OC_Fab,VapeInt_OC_Fab,Q285_First.Click,Q285_Last.Click,Q285_Page.Submit,Q285_Click.Count,Honesty_OC_Mae_1,Trustworthy_OC_Mae_1,Informed_OC_Mae_1,Harm_OC_Mae,NicotineCool_OC_Mae_1,NicoAttra_OC_Mae_1,VapeFriends_OC_Mae,VapeMonths_OC_Mae,VapeInt_OC_Mae,Honesty_OC_Zanx_1,Trustworthy_OC_Zanx_1,Informed_OC_Zanx_1,Harm_OC_Zanx,NicotineCool_OC_Zanx_1,NicoAttra_OC_Zanx_1,VapeFriends_OC_Zanx,VapeMonths_OC_Zanx,VapeInt_OC_Zanx,ControlQuestion_fitness,ControlQuestion_nofitness,ControlQuestionAge,Condition,white,asian,black,multi,other,sm_exposure,infl_expos,nic_30dayuse,ecig_30dayuse,harmvape_pretest,appeal_cool_pretest,suscept_pretest,sm_freq_use,sub_30dayuse,cigcan_30dayuse
R_1uOpjEeRyglMzlv,14,Yes,29,34,36,Very harmful,2,3,Probably not,I prefer not to answer,Definitely not,19,23,15,Slightly harmful,3,3,Definitely not,Probably not,Definitely not,31,24,18,Very harmful,2,1,Definitely not,Definitely not,Definitely not,16,21,17,Not at all harmful,2,2,Probably yes,Probably yes,Probably yes,0,0,0,Not at all harmful,3,3,Probably not,Definitely not,Definitely yes,0,0,0,Slightly harmful,0,1,Definitely not,Probably yes,Definitely not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,,14,Young Treat,0,0,0,0,1,0,0,0,0,1,1,1,NA,0,0
R_3Sv5S0UzzMdnErc,16,No,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,4,3,17,Extremely harmful,1,1,Definitely not,Definitely not,Definitely not,1,1,6,Extremely harmful,1,0,Probably not,Definitely not,Definitely not,14,18,57,Extremely harmful,2,3,Probably yes,Definitely not,Definitely not,10.657,10.657,11.294,1,4,9,49,Extremely harmful,1,1,Definitely not,Definitely not,Definitely not,8.998,8.998,11.263,1,21,27,33,Extremely harmful,2,2,Definitely not,Definitely not,Definitely not,50,0,26,Extremely harmful,1,1,Probably yes,Definitely not,Probably yes,,People vaping,16,Old Control,1,0,0,0,0,1,0,0,0,1,1,1,3,0,0
R_5j6jcmYQQi6oKW7,14,Yes,10,0,6,Very harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Very harmful,0,0,Definitely not,Definitely not,Definitely not,4,1,5,Very harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Very harmful,0,0,Definitely not,Definitely not,Definitely not,10,15,0,Very harmful,0,0,Definitely not,Definitely not,Probably not,28,0,8,Very harmful,0,0,Definitely not,Definitely not,Definitely not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,14,Young Treat,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0
R_3JepPjUPKeEnHnv,17,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,14,7,7,Slightly harmful,1,1,Probably not,Probably not,Probably not,48,29,40,Very harmful,1,1,Probably not,Probably not,Definitely not,10,10,11,Very harmful,1,1,Probably not,Probably not,Probably not,6,10,59,Very harmful,1,1,Definitely not,Definitely not,Definitely not,8,8,8,Very harmful,1,1,Probably not,Probably not,Definitely not,11,13,32,Very harmful,1,1,Definitely not,Definitely not,Definitely not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,17,Young Control,0,0,0,0,1,0,0,0,0,2,2,1,1,0,0
R_5fbDHQl6bRPUo2B,17,No,1,17,3,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Extremely harmful,0,1,Definitely not,Definitely not,Definitely not,9,3,9,Extremely harmful,0,1,Definitely not,Definitely not,Definitely not,0,0,0,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,48,12,0,Very harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,17,Young Treat,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0
R_664GesTxyeI46c9,16,No,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,50,Very harmful,3,3,Probably yes,Probably yes,Probably yes,NA,NA,NA,Very harmful,3,3,Probably yes,Probably yes,Probably yes,NA,NA,50,Very harmful,3,3,Definitely yes,Probably yes,Probably yes,NA,NA,50,Very harmful,3,3,Probably yes,Probably yes,Probably not,NA,NA,50,Very harmful,3,3,Probably yes,Probably yes,Probably yes,NA,NA,49,Very harmful,3,3,Probably yes,Probably yes,Probably yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,16,Old Treat,0,0,1,0,0,1,1,1,1,2,2,1,1,1,1
R_3lRoYLtcIkKZTlD,17,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,42,2,2,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,80,0,3,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,50,2,4,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,1.541,25.211,26.196,2,NA,NA,3,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,1.836,16.742,18.552,2,44,13,8,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,NA,4,4,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,People vaping and exercising,People vaping,17,Old Control,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0
R_6aEllBktwbJyDCo,17,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,26,44,32,Somewhat harmful,4,5,Probably yes,Probably not,Probably yes,51,9,13,Somewhat harmful,4,3,Probably yes,Probably yes,Definitely not,62,53,52,Slightly harmful,6,6,Probably yes,Probably yes,Probably yes,48,28,31,Somewhat harmful,4,6,Probably yes,Probably not,Probably not,27,42,26,Slightly harmful,5,5,Probably yes,Probably yes,Probably yes,26,29,33,Very harmful,1,1,Probably not,Probably not,Probably not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,,People vaping,17,Young Control,0,0,0,0,1,0,0,0,0,3,3,1,1,0,0
R_5q1zObvm5cmXah3,16,Yes,0,0,30,Very harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Very harmful,0,0,Definitely not,Definitely not,Definitely not,10,0,50,Very harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Very harmful,0,0,Definitely not,Definitely not,Definitely not,40,10,50,Very harmful,0,0,Definitely not,Definitely not,Definitely not,0,0,0,Very harmful,0,0,Definitely not,Definitely not,Definitely not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,People vaping,16,Young Treat,1,0,0,0,0,0,0,0,0,2,2,1,3,0,0
R_16eTFdIjKP5gM4R,17,Yes,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,0,10,14,Extremely harmful,1,0,Definitely not,Definitely not,Definitely not,6,0,6,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,40,19,50,Extremely harmful,2,1,I prefer not to answer,Definitely not,Definitely not,0,0,0,Extremely harmful,0,0,Definitely not,Definitely not,Definitely not,0,3,4,Extremely harmful,0,1,I prefer not to answer,Definitely not,Definitely not,0,0,0,Extremely harmful,1,0,Definitely not,Definitely not,Definitely not,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,NA,NA,NA,,NA,NA,,,,People vaping and exercising,,17,Young Control,0,0,0,0,1,1,1,0,0,2,2,1,1,0,0
