,ResponseId,Condition,influencer_video,vape_cool,vape_attr,video_id,influencer,credibility_median,video_number,credibility_median_rescale,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,vape_appeal,vape_appeal_sum,vape_appeal_pretest_sum,vape_appeal_pretest_3cat,vape_appeal_t3,Ethnicity,Sex,sm_freq_use,sub_30dayuse,credibility_median_binary
1,R_10TINikslJ87UpY,Old Control,aby,0,0,video1_cred_aby,cred_aby,0,1,-1.114512449,Female,No,4,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
2,R_10TINikslJ87UpY,Old Control,anna,0,0,video2_cred_anna,cred_anna,0,2,-1.114512449,Female,No,4,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
3,R_10TINikslJ87UpY,Old Control,cham,0,0,video3_cred_cham,cred_cham,0,3,-1.114512449,Female,No,4,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
4,R_10TINikslJ87UpY,Old Control,fab,0,0,video4_cred_fab,cred_fab,0,4,-1.114512449,Female,No,4,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
5,R_10TINikslJ87UpY,Old Control,mae,0,0,video5_cred_mae,cred_mae,34,5,0.08110049,Female,No,4,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,1
6,R_10TINikslJ87UpY,Old Control,zanx,0,0,video6_cred_zanx,cred_zanx,0,6,-1.114512449,Female,No,4,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
7,R_11BLK8pDJprL2ff,Old Treat,aby,0,0,video1_cred_aby,cred_aby,0,1,-1.114512449,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
8,R_11BLK8pDJprL2ff,Old Treat,anna,0,0,video2_cred_anna,cred_anna,0,2,-1.114512449,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
9,R_11BLK8pDJprL2ff,Old Treat,cham,0,0,video3_cred_cham,cred_cham,46,3,0.503081528,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,1
10,R_11BLK8pDJprL2ff,Old Treat,fab,0,0,video4_cred_fab,cred_fab,20,4,-0.41121072,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
11,R_11BLK8pDJprL2ff,Old Treat,mae,0,0,video5_cred_mae,cred_mae,0,5,-1.114512449,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
12,R_11BLK8pDJprL2ff,Old Treat,zanx,0,0,video6_cred_zanx,cred_zanx,14,6,-0.622201239,Female,No,3,0,1,0,0,0,0,0,0,0,Low,Low,No,Female,1,0,0
13,R_11FnZCqgVVecpOI,Old Treat,aby,0,1,video1_cred_aby,cred_aby,45,1,0.467916441,Female,Yes,3,0,0,0,0,1,0,0.5,1,2,Low,Moderate,Yes,Female,2,0,1
14,R_11FnZCqgVVecpOI,Old Treat,anna,0,1,video2_cred_anna,cred_anna,43,2,0.397586269,Female,Yes,3,0,0,0,0,1,0,0.5,1,2,Low,Moderate,Yes,Female,2,0,1
15,R_11FnZCqgVVecpOI,Old Treat,cham,0,1,video3_cred_cham,cred_cham,41,3,0.327256096,Female,Yes,3,0,0,0,0,1,0,0.5,1,2,Low,Moderate,Yes,Female,2,0,1
16,R_11FnZCqgVVecpOI,Old Treat,fab,0,0,video4_cred_fab,cred_fab,34,4,0.08110049,Female,Yes,3,0,0,0,0,1,0,0,0,2,Low,Low,Yes,Female,2,0,1
