,ResponseId,Condition,influencer_video,harm_score,harm_score_factor,Condition,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,harmvape_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,harm_pretest_binary,credibility_median_binary
1,R_10TINikslJ87UpY,Old Control,harm_aby,1,1,Old Control,Female,No,17,0,1,0,0,0,0,1,video1_cred_aby,cred_aby,0,1,-1.114512449,1,0,0,0
2,R_10TINikslJ87UpY,Old Control,harm_anna,2,2,Old Control,Female,No,17,0,1,0,0,0,0,1,video2_cred_anna,cred_anna,0,2,-1.114512449,1,0,0,0
3,R_10TINikslJ87UpY,Old Control,harm_cham,2,2,Old Control,Female,No,17,0,1,0,0,0,0,1,video3_cred_cham,cred_cham,0,3,-1.114512449,1,0,0,0
4,R_10TINikslJ87UpY,Old Control,harm_fab,2,2,Old Control,Female,No,17,0,1,0,0,0,0,1,video4_cred_fab,cred_fab,0,4,-1.114512449,1,0,0,0
5,R_10TINikslJ87UpY,Old Control,harm_mae,5,5,Old Control,Female,No,17,0,1,0,0,0,0,1,video5_cred_mae,cred_mae,34,5,0.08110049,1,0,0,1
6,R_10TINikslJ87UpY,Old Control,harm_zanx,2,2,Old Control,Female,No,17,0,1,0,0,0,0,1,video6_cred_zanx,cred_zanx,0,6,-1.114512449,1,0,0,0
7,R_11BLK8pDJprL2ff,Old Treat,harm_aby,1,1,Old Treat,Female,No,16,0,1,0,0,0,0,1,video1_cred_aby,cred_aby,0,1,-1.114512449,1,0,0,0
8,R_11BLK8pDJprL2ff,Old Treat,harm_anna,1,1,Old Treat,Female,No,16,0,1,0,0,0,0,1,video2_cred_anna,cred_anna,0,2,-1.114512449,1,0,0,0
9,R_11BLK8pDJprL2ff,Old Treat,harm_cham,1,1,Old Treat,Female,No,16,0,1,0,0,0,0,1,video3_cred_cham,cred_cham,46,3,0.503081528,1,0,0,1
10,R_11BLK8pDJprL2ff,Old Treat,harm_fab,1,1,Old Treat,Female,No,16,0,1,0,0,0,0,1,video4_cred_fab,cred_fab,20,4,-0.41121072,1,0,0,0
11,R_11BLK8pDJprL2ff,Old Treat,harm_mae,1,1,Old Treat,Female,No,16,0,1,0,0,0,0,1,video5_cred_mae,cred_mae,0,5,-1.114512449,1,0,0,0
12,R_11BLK8pDJprL2ff,Old Treat,harm_zanx,1,1,Old Treat,Female,No,16,0,1,0,0,0,0,1,video6_cred_zanx,cred_zanx,14,6,-0.622201239,1,0,0,0
13,R_11FnZCqgVVecpOI,Old Treat,harm_aby,2,2,Old Treat,Female,Yes,16,0,0,0,0,1,0,2,video1_cred_aby,cred_aby,45,1,0.467916441,2,0,0,1
14,R_11FnZCqgVVecpOI,Old Treat,harm_anna,3,3,Old Treat,Female,Yes,16,0,0,0,0,1,0,2,video2_cred_anna,cred_anna,43,2,0.397586269,2,0,0,1
15,R_11FnZCqgVVecpOI,Old Treat,harm_cham,2,2,Old Treat,Female,Yes,16,0,0,0,0,1,0,2,video3_cred_cham,cred_cham,41,3,0.327256096,2,0,0,1
16,R_11FnZCqgVVecpOI,Old Treat,harm_fab,2,2,Old Treat,Female,Yes,16,0,0,0,0,1,0,2,video4_cred_fab,cred_fab,34,4,0.08110049,2,0,0,1
17,R_11FnZCqgVVecpOI,Old Treat,harm_mae,2,2,Old Treat,Female,Yes,16,0,0,0,0,1,0,2,video5_cred_mae,cred_mae,0,5,-1.114512449,2,0,0,0
18,R_11FnZCqgVVecpOI,Old Treat,harm_zanx,2,2,Old Treat,Female,Yes,16,0,0,0,0,1,0,2,video6_cred_zanx,cred_zanx,0,6,-1.114512449,2,0,0,0
19,R_11Ux85AlGXyq5vb,Young Control,harm_aby,3,3,Young Control,Male,Yes,17,1,0,0,0,0,0,3,video1_cred_aby,cred_aby,45,1,0.467916441,1,0,1,1
20,R_11Ux85AlGXyq5vb,Young Control,harm_anna,2,2,Young Control,Male,Yes,17,1,0,0,0,0,0,3,video2_cred_anna,cred_anna,82,2,1.76902464,1,0,1,1
21,R_11Ux85AlGXyq5vb,Young Control,harm_cham,3,3,Young Control,Male,Yes,17,1,0,0,0,0,0,3,video3_cred_cham,cred_cham,36,3,0.151430663,1,0,1,1
22,R_11Ux85AlGXyq5vb,Young Control,harm_fab,4,4,Young Control,Male,Yes,17,1,0,0,0,0,0,3,video4_cred_fab,cred_fab,22,4,-0.340880547,1,0,1,0
23,R_11Ux85AlGXyq5vb,Young Control,harm_mae,3,3,Young Control,Male,Yes,17,1,0,0,0,0,0,3,video5_cred_mae,cred_mae,50,5,0.643741874,1,0,1,1
24,R_11Ux85AlGXyq5vb,Young Control,harm_zanx,3,3,Young Control,Male,Yes,17,1,0,0,0,0,0,3,video6_cred_zanx,cred_zanx,29,6,-0.094724942,1,0,1,1
25,R_11sfbtYCPh2ALG9,Young Control,harm_aby,1,1,Young Control,Male,No,16,1,0,0,0,0,0,1,video1_cred_aby,cred_aby,12,1,-0.692531412,3,0,0,0
26,R_11sfbtYCPh2ALG9,Young Control,harm_anna,1,1,Young Control,Male,No,16,1,0,0,0,0,0,1,video2_cred_anna,cred_anna,3,2,-1.00901719,3,0,0,0
