,ResponseId,Condition,influencer_video,susceptfriend_score,vapenext6months_score,vapecurios_score,suscept_total,Sex,Ethnicity,Age,white,asian,black,multi,other,infl_expos,suscept_pretest,video_id,influencer,credibility_median,video_number,credibility_median_rescale,sm_freq_use,sub_30dayuse,cigcan_30dayuse,credibility_median_binary
1,R_10TINikslJ87UpY,Old Control,vapefriend_aby,4,4,4,0,Female,No,17,0,1,0,0,0,0,0,video1_cred_aby,cred_aby,0,1,-0.978739575,1,0,0,0
2,R_10TINikslJ87UpY,Old Control,vapefriend_anna,4,4,4,0,Female,No,17,0,1,0,0,0,0,0,video2_cred_anna,cred_anna,0,2,-0.978739575,1,0,0,0
3,R_10TINikslJ87UpY,Old Control,vapefriend_cham,4,4,4,0,Female,No,17,0,1,0,0,0,0,0,video3_cred_cham,cred_cham,0,3,-0.978739575,1,0,0,0
4,R_10TINikslJ87UpY,Old Control,vapefriend_fab,4,4,4,0,Female,No,17,0,1,0,0,0,0,0,video4_cred_fab,cred_fab,0,4,-0.978739575,1,0,0,0
5,R_10TINikslJ87UpY,Old Control,vapefriend_mae,4,4,4,0,Female,No,17,0,1,0,0,0,0,0,video5_cred_mae,cred_mae,34,5,0.488853531,1,0,0,1
6,R_10TINikslJ87UpY,Old Control,vapefriend_zanx,4,4,4,0,Female,No,17,0,1,0,0,0,0,0,video6_cred_zanx,cred_zanx,0,6,-0.978739575,1,0,0,0
7,R_11FnZCqgVVecpOI,Old Treat,vapefriend_aby,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video1_cred_aby,cred_aby,45,1,0.963663066,2,0,0,1
8,R_11FnZCqgVVecpOI,Old Treat,vapefriend_anna,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video2_cred_anna,cred_anna,43,2,0.87733406,2,0,0,1
9,R_11FnZCqgVVecpOI,Old Treat,vapefriend_cham,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video3_cred_cham,cred_cham,41,3,0.791005053,2,0,0,1
10,R_11FnZCqgVVecpOI,Old Treat,vapefriend_fab,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video4_cred_fab,cred_fab,34,4,0.488853531,2,0,0,1
11,R_11FnZCqgVVecpOI,Old Treat,vapefriend_mae,4,4,4,0,Female,Yes,16,0,0,0,0,1,0,0,video5_cred_mae,cred_mae,0,5,-0.978739575,2,0,0,0
